,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
400,0,0.422207168,1,0.988,0,1,B2M,
401,0,0.421037774,0.994,0.967,0,1,PFN1,
559,3.87E-155,0.419526327,0.423,0.34,1.45E-150,1,SYTL3,
510,3.72E-258,0.418825953,0.678,0.636,1.40E-253,1,RAP1B,
568,1.36E-139,0.416934957,0.446,0.385,5.12E-135,1,MYO1G,
402,0,0.413428805,0.82,0.761,0,1,ARL4C,
505,7.55E-266,0.412834759,0.384,0.246,2.84E-261,1,HLA-DRB1,
403,0,0.407888716,0.763,0.663,0,1,AHNAK,
404,0,0.404833498,0.809,0.772,0,1,LSP1,
572,2.55E-134,0.403816919,0.445,0.383,9.57E-130,1,CLEC2B,
562,1.53E-150,0.40135482,0.369,0.284,5.75E-146,1,ACTN4,
524,3.05E-217,0.396633545,0.622,0.554,1.14E-212,1,SYNE2,
